Key,Participant_ID,Start_ms,End_ms,eye_mean_pupil,eye_fixation_count,eye_gaze_dispersion
2spl1,19,1676466174750.8315,1676466184705.266,0.2864636112896841,1194.0,203.0392532159108
2Item1,19,1676466240057.0884,1676466258335.882,0.3308130679830379,2194.0,263.4209073914413
2Item2,19,1676466259819.7207,1676466277276.9128,0.3667373875729508,2095.0,169.40247789666722
2Item3,19,1676466278515.786,1676466293052.9404,0.3603848011121837,1744.0,145.20372001882478
2Item4,19,1676466294292.1304,1676466324743.4136,0.43352127283991,3654.0,114.11303440410796
2Item5,19,1676466326060.387,1676466365325.1282,0.3618781682465098,4713.0,145.29919023529484
2Item6,19,1676466366819.708,1676466388078.9702,0.3647268752124626,2551.0,125.86445332323608
2Item7,19,1676466389009.6245,1676466436319.5012,0.3501791650033745,5678.0,86.76792081472217
2Item8,19,1676466438096.8848,1676466464183.585,0.3082162716334637,3131.0,170.9324605263721
2Item9,19,1676466465459.5376,1676466480949.5083,0.3269770080008258,1859.0,142.14440821973844
2Item10,19,1676466481992.0083,1676466509213.33,0.4215976071715318,3267.0,125.62652663836911
3Item15,19,1676466658739.7954,1676466665747.237,0.4973172472433301,841.0,110.78029737065542
3Item2,19,1676466665759.997,1676466669836.7058,0.4125340155541043,489.0,166.0610517869077
3Item5,19,1676466669847.3816,1676466672830.6614,0.4138229838962661,358.0,115.96219270899311
3Item12,19,1676466672844.9082,1676466678453.37,0.4204180237088479,673.0,123.88032190143484
3Item6,19,1676466678467.134,1676466681964.6326,0.4061647687639509,420.0,98.40370878645474
3Item8,19,1676466681975.1743,1676466701898.345,0.3969386542307089,2391.0,132.74999004379032
3Item7,19,1676466701913.2612,1676466721498.4443,0.3827365372028756,2350.0,86.74562552582515
3Item9,19,1676466721515.4907,1676466741857.8533,0.3878492281927035,2442.0,108.96324046507723
3Item17,19,1676466741872.8806,1676466763481.647,0.3761620238457814,2594.0,179.5254469826348
3Item19,19,1676466763481.647,1676466778481.647,0.3950376298692491,1800.0,105.97404818589146
1spl1,20,1675150987377.3086,1675150998546.8508,0.4279375296755569,1341.0,142.1741676140735
1spl2,20,1675150998688.6338,1675151006479.5469,0.515336682324741,935.0,95.76348540901134
1Item1,20,1675151006504.6418,1675151010289.897,0.4344803730296668,454.0,121.55493418949472
1Item2,20,1675151010313.1958,1675151016817.8042,0.4903249985132462,780.0,111.28700320824116
1Item3,20,1675151016842.223,1675151023900.5227,0.4603790679535308,847.0,135.41600568841545
1Item4,20,1675151023926.6416,1675151033412.5989,0.5254182865833357,1138.0,97.07739196982972
1Item5,20,1675151033442.1304,1675151039756.9548,0.5228104484285987,757.0,87.14814536622382
1Item6,20,1675151039778.3691,1675151046241.5906,0.405796424629762,776.0,106.52064115862854
1Item7,20,1675151046260.611,1675151053353.672,0.490847281647625,851.0,104.7069428304215
1Item8,20,1675151053378.2664,1675151063887.8926,0.415218301844162,1261.0,119.33593468594476
1Item9,20,1675151063909.6836,1675151078499.5874,0.3721453914903614,1752.0,127.8900340460956
1Item10,20,1675151078526.2786,1675151087140.5251,0.3919251255647818,1034.0,138.13031781133128
2spl1,20,1675151155430.2732,1675151162330.2075,0.3966795327006907,828.0,149.7091694559007
2spl2,20,1675151167033.504,1675151170403.819,0.379121474277826,405.0,186.8318153388336
2Item1,20,1675151171443.671,1675151176291.381,0.4439243696809224,582.0,204.38570053047167
2Item2,20,1675151177451.214,1675151180881.5022,0.56593228312372,412.0,162.550266420133
2Item3,20,1675151182046.422,1675151184545.81,0.554358139038086,300.0,104.28481396949216
2Item4,20,1675151185863.525,1675151190095.1118,0.5499210808220811,508.0,156.51034937043875
2Item5,20,1675151190912.3997,1675151198353.959,0.5287230556782789,893.0,126.25530071107644
2Item6,20,1675151199407.3171,1675151203945.536,0.5424441976284762,545.0,117.29592412511258
